Entry,Event,EButSlot,EButEventType,EButEventParm,EButEventAct,EButEventFct,EButActParm1,EButActParm2
 78 , 18 , 33 , 5 , 0 , 7 , 0 , 0 , 146 
 79 , 19 , 34 , 5 , 1 , 12 , 0 , 0 , 1 
 80 , 19 , 34 , 5 , 1 , 13 , 0 , 1 , 0 
 81 , 19 , 34 , 5 , 1 , 2 , 0 , 147 , 0 
 82 , 19 , 34 , 5 , 1 , 4 , 0 , 0 , 0 
 83 , 19 , 34 , 5 , 1 , 16 , 0 , 0 , 0 
 84 , 19 , 34 , 5 , 1 , 1 , 0 , 22 , 0 
 85 , 19 , 34 , 5 , 1 , 16 , 0 , 0 , 0 
 86 , 19 , 34 , 5 , 1 , 1 , 0 , 23 , 0 
 87 , 19 , 34 , 5 , 1 , 14 , 0 , 1 , 0 
 88 , 19 , 34 , 5 , 1 , 7 , 0 , 1 , 148 
 89 , 20 , 32 , 0 , 15 , 2 , 0 , 147 , 0 
 90 , 20 , 32 , 0 , 15 , 4 , 0 , 0 , 0 
 91 , 20 , 32 , 0 , 15 , 1 , 0 , 23 , 0 
 92 , 21 , 35 , 2 , 0 , 10 , 0 , 132 , 64 
 93 , 21 , 35 , 2 , 0 , 10 , 0 , 133 , 127 
 94 , 21 , 35 , 2 , 0 , 10 , 0 , 134 , 32 
 95 , 21 , 35 , 2 , 0 , 10 , 0 , 135 , 0 
 96 , 21 , 35 , 2 , 0 , 10 , 0 , 139 , 63 
 97 , 21 , 35 , 2 , 0 , 10 , 0 , 140 , 64 
 98 , 21 , 35 , 2 , 0 , 10 , 0 , 141 , 64 
 99 , 21 , 35 , 2 , 0 , 10 , 0 , 142 , 64 
 100 , 21 , 35 , 2 , 0 , 10 , 0 , 143 , 64 
 101 , 21 , 35 , 2 , 0 , 10 , 0 , 144 , 64 
 102 , 21 , 35 , 2 , 0 , 10 , 0 , 145 , 64 
 103 , 21 , 35 , 2 , 0 , 10 , 0 , 146 , 64 
 104 , 21 , 35 , 2 , 0 , 10 , 0 , 147 , 64 
 105 , 21 , 35 , 2 , 0 , 10 , 0 , 148 , 64 
Event,Activity,Description,N/A,N/A,N/A,N/A,N/A,N/A
 0 , 0 ,Set Volume by value in CV 140, 0 , 0 ,           0 , 0 , 0 , 0 
 0 , 1 ,Play Sound Clip 2, 0 , 0 ,         0 , 0 , 0 , 0 
 0 , 2 ,Set Memory Slot 0 to 1, 0 , 0 ,    0 , 0 , 0 , 0 
 0 , 3 ,Set Timer 0 by CV: 146, 0 , 0 ,    0 , 0 , 0 , 0 
 0 , 4 ,Set Timer 1 by CV: 148, 0 , 0 ,    0 , 0 , 0 , 0 
 0 , 19 ,Event 0 in Voice 1 Slot 2, 0 , 0 ,              0 , 0 , 0 , 0 
 0 , 20 ,When Starting from Idle, 0 , 0 ,  0 , 0 , 0 , 0 
 1 , 0 ,Blend Type - Accel, 0 , 0 ,        0 , 0 , 0 , 0 
 1 , 1 ,Set Volume by value in CV 140, 0 , 0 ,           0 , 0 , 0 , 0 
 1 , 2 ,Set Pitch per Notch Setting, 0 , 0 ,             0 , 0 , 0 , 0 
 1 , 3 ,Play Sound Clip 3 Once, 0 , 0 ,    0 , 0 , 0 , 0 
 1 , 19 ,Event 1 in Voice 1 Slot 3, 0 , 0 ,              0 , 0 , 0 , 0 
 1 , 20 ,When Accelerating, 0 , 0 ,        0 , 0 , 0 , 0 
 2 , 0 ,Blend Type - Decel, 0 , 0 ,        0 , 0 , 0 , 0 
 2 , 1 ,Set Volume by value in CV 140, 0 , 0 ,           0 , 0 , 0 , 0 
 2 , 2 ,Set Pitch to Speed, 0 , 0 ,        0 , 0 , 0 , 0 
 2 , 3 ,Play Sound Clip 3, 0 , 0 ,         0 , 0 , 0 , 0 
 2 , 19 ,Event 2 in Voice 1 Slot 4, 0 , 0 ,              0 , 0 , 0 , 0 
 2 , 20 ,When Decelerating, 0 , 0 ,        0 , 0 , 0 , 0 
 3 , 0 ,Blend Type - Run, 0 , 0 ,          0 , 0 , 0 , 0 
 3 , 1 ,Set Volume by value in CV 140, 0 , 0 ,           0 , 0 , 0 , 0 
 3 , 2 ,Set Pitch to Speed, 0 , 0 ,        0 , 0 , 0 , 0 
 3 , 3 ,Play Sound Clip 3, 0 , 0 ,         0 , 0 , 0 , 0 
 3 , 19 ,Event 3 in Voice 1 Slot 5, 0 , 0 ,              0 , 0 , 0 , 0 
 3 , 20 ,When Running Constant, 0 , 0 ,    0 , 0 , 0 , 0 
 4 , 0 ,Set Memory Slot 0 to 0, 0 , 0 ,    0 , 0 , 0 , 0 
 4 , 1 ,Set Volume by value in CV 140, 0 , 0 ,           0 , 0 , 0 , 0 
 4 , 2 ,Play Sound Clip 4, 0 , 0 ,         0 , 0 , 0 , 0 
 4 , 19 ,Event 4 in Voice 1 Slot 6, 0 , 0 ,              0 , 0 , 0 , 0 
 4 , 20 ,Trigger when Moving Turns OFF, 0 , 0 ,          0 , 0 , 0 , 0 
 5 , 0 ,Blend Type - idle, 0 , 0 ,         0 , 0 , 0 , 0 
 5 , 1 ,Set Volume by value in CV 140, 0 , 0 ,           0 , 0 , 0 , 0 
 5 , 2 ,Set Pitch to Speed, 0 , 0 ,        0 , 0 , 0 , 0 
 5 , 3 ,Play Sound Clip 1, 0 , 0 ,         0 , 0 , 0 , 0 
 5 , 19 ,Event 5 in Voice 1 Slot 7, 0 , 0 ,              0 , 0 , 0 , 0 
 5 , 20 ,Sit in Idle, 0 , 0 ,              0 , 0 , 0 , 0 
 6 , 0 ,Blend Type - Startup, 0 , 0 ,      0 , 0 , 0 , 0 
 6 , 1 ,Set Volume by value in CV 140, 0 , 0 ,           0 , 0 , 0 , 0 
 6 , 2 ,Play Sound Clip 0, 0 , 0 ,         0 , 0 , 0 , 0 
 6 , 3 ,Play Sound Clip 5, 0 , 0 ,         0 , 0 , 0 , 0 
 6 , 4 ,Play Sound Clip 1, 0 , 0 ,         0 , 0 , 0 , 0 
 6 , 19 ,Event 6 in Voice 1 Slot 0, 0 , 0 ,              0 , 0 , 0 , 0 
 6 , 20 ,When Power Turns On, 0 , 0 ,      0 , 0 , 0 , 0 
 7 , 0 ,Set Volume by value in CV 140, 0 , 0 ,           0 , 0 , 0 , 0 
 7 , 1 ,Play E235_shutdown.wav Once, 0 , 0 ,             0 , 0 , 0 , 0 
 7 , 19 ,Event 7 in Voice 1 Slot 1, 0 , 0 ,              0 , 0 , 0 , 0 
 7 , 20 ,When Power Turns Off, 0 , 0 ,     0 , 0 , 0 , 0 
 8 , 0 ,Set Volume by value in CV 141, 0 , 0 ,           0 , 0 , 0 , 0 
 8 , 1 ,Play Sound Clip 7, 0 , 0 ,         0 , 0 , 0 , 0 
 8 , 2 ,Play Sound Clip 8, 0 , 0 ,         0 , 0 , 0 , 0 
 8 , 3 ,Play Sound Clip 9, 0 , 0 ,         0 , 0 , 0 , 0 
 8 , 19 ,Event 8 in Voice 2 Slot 2, 0 , 0 ,              0 , 0 , 0 , 0 
 8 , 20 ,Trigger when FKey 2 While On, 0 , 0 ,           0 , 0 , 0 , 0 
 9 , 0 ,Set Volume by value in CV 142, 0 , 0 ,           0 , 0 , 0 , 0 
 9 , 1 ,Play E235_doors_ringer.wav Once, 0 , 0 ,         0 , 0 , 0 , 0 
 9 , 2 ,Delay 0.4 secs, 0 , 0 ,            0 , 0 , 0 , 0 
 9 , 3 ,Play E235_track_3.wav Once, 0 , 0 ,              0 , 0 , 0 , 0 
 9 , 4 ,Delay 0.8 secs, 0 , 0 ,            0 , 0 , 0 , 0 
 9 , 5 ,Play E235_doors_are_closing.wav Once, 0 , 0 ,    0 , 0 , 0 , 0 
 9 , 6 ,Delay 0.7 secs, 0 , 0 ,            0 , 0 , 0 , 0 
 9 , 7 ,Play E235_doors_be_careful.wav Once, 0 , 0 ,     0 , 0 , 0 , 0 
 9 , 8 ,Delay 1 secs, 0 , 0 ,              0 , 0 , 0 , 0 
 9 , 9 ,Play E235_doors_actually_closing.wav Once, 0 , 0 ,             0 , 0 , 0 , 0 
 9 , 19 ,Event 9 in Voice 3 slot 0, 0 , 0 ,              0 , 0 , 0 , 0 
 9 , 20 ,Trigger when FKey 4 Turns ON, 0 , 0 ,           0 , 0 , 0 , 0 
 10 , 0 ,Enable Motor, 0 , 0 ,             0 , 0 , 0 , 0 
 10 , 1 ,Set Distance gauge 31, 0 , 0 ,    0 , 0 , 0 , 0 
 10 , 2 ,Set Distance gauge 31, 0 , 0 ,    0 , 0 , 0 , 0 
 10 , 19 ,Event 10 in Voice 2 Slot 3, 0 , 0 ,            0 , 0 , 0 , 0 
 10 , 20 ,On Power Up, 0 , 0 ,             0 , 0 , 0 , 0 
 11 , 0 ,Set Volume by value in CV 143, 0 , 0 ,          0 , 0 , 0 , 0 
 11 , 1 ,Play Tokyo.wav Once, 0 , 0 ,      0 , 0 , 0 , 0 
 11 , 19 ,Event 11 in Voice 3 slot 1, 0 , 0 ,            0 , 0 , 0 , 0 
 11 , 20 ,Trigger when FKey 7 Turns ON, 0 , 0 ,          0 , 0 , 0 , 0 
 12 , 0 ,Set Volume by value in CV 143, 0 , 0 ,          0 , 0 , 0 , 0 
 12 , 1 ,Play Akihabara.wav Once, 0 , 0 ,  0 , 0 , 0 , 0 
 12 , 19 ,Event 12 in Voice 3 slot 2, 0 , 0 ,            0 , 0 , 0 , 0 
 12 , 20 ,Trigger when FKey 8 Turns ON, 0 , 0 ,          0 , 0 , 0 , 0 
 13 , 0 ,Set Volume by value in CV 144, 0 , 0 ,          0 , 0 , 0 , 0 
 13 , 1 ,Play E235_brake_release_2.wav Once, 0 , 0 ,     0 , 0 , 0 , 0 
 13 , 19 ,Event 13 in Voice 3 slot 10, 0 , 0 ,           0 , 0 , 0 , 0 
 13 , 20 ,Trigger when FKey 3 Turns ON, 0 , 0 ,          0 , 0 , 0 , 0 
 14 , 0 ,Set Volume by value in CV 142, 0 , 0 ,          0 , 0 , 0 , 0 
 14 , 1 ,Play Next_Akihabara.wav Once, 0 , 0 ,           0 , 0 , 0 , 0 
 14 , 19 ,Event 14 in Voice 3 slot 3, 0 , 0 ,            0 , 0 , 0 , 0 
 14 , 20 ,Trigger when FKey 10 Turns ON, 0 , 0 ,         0 , 0 , 0 , 0 
 15 , 0 ,Set Mute ON, 0 , 0 ,              0 , 0 , 0 , 0 
 15 , 19 ,Event 15 in Voice 2 Slot 0, 0 , 0 ,            0 , 0 , 0 , 0 
 15 , 20 ,Trigger when FKey 20 Turns ON, 0 , 0 ,         0 , 0 , 0 , 0 
 16 , 0 ,Set Mute OFF, 0 , 0 ,             0 , 0 , 0 , 0 
 16 , 19 ,Event 16 in Voice 2 Slot 1, 0 , 0 ,            0 , 0 , 0 , 0 
 16 , 20 ,Trigger when FKey 20 Turns OFF, 0 , 0 ,        0 , 0 , 0 , 0 
 17 , 0 ,Set Pitch per Notch Setting, 0 , 0 ,            0 , 0 , 0 , 0 
 17 , 1 ,Set Volume by value in CV 145, 0 , 0 ,          0 , 0 , 0 , 0 
 17 , 2 ,Randomly Do Next 1:2, 0 , 0 ,     0 , 0 , 0 , 0 
 17 , 3 ,Play flange_1.wav Once, 0 , 0 ,   0 , 0 , 0 , 0 
 17 , 4 ,Randomly Do Next 1:2, 0 , 0 ,     0 , 0 , 0 , 0 
 17 , 5 ,Play flange_2.wav Once, 0 , 0 ,   0 , 0 , 0 , 0 
 17 , 6 ,Randomly Do Next 1:2, 0 , 0 ,     0 , 0 , 0 , 0 
 17 , 7 ,Play flange_3.wav Once, 0 , 0 ,   0 , 0 , 0 , 0 
 17 , 19 ,Event 17 in Voice 3 slot 11, 0 , 0 ,           0 , 0 , 0 , 0 
 17 , 20 ,Trigger when FKey 14 Turns ON, 0 , 0 ,         0 , 0 , 0 , 0 
 18 , 0 ,Test Memory Slot 0 for 1, 0 , 0 ,               0 , 0 , 0 , 0 
 18 , 1 ,Branch to Tag No. 0, 0 , 0 ,      0 , 0 , 0 , 0 
 18 , 2 ,Set Volume by value in CV 145, 0 , 0 ,          0 , 0 , 0 , 0 
 18 , 3 ,Set Pitch per Notch Setting, 0 , 0 ,            0 , 0 , 0 , 0 
 18 , 4 ,Randomly Do Next 1:2, 0 , 0 ,     0 , 0 , 0 , 0 
 18 , 5 ,Play flange_1.wav, 0 , 0 ,        0 , 0 , 0 , 0 
 18 , 6 ,Randomly Do Next 1:2, 0 , 0 ,     0 , 0 , 0 , 0 
 18 , 7 ,Play flange_2.wav Once, 0 , 0 ,   0 , 0 , 0 , 0 
 18 , 8 ,Randomly Do Next 1:2, 0 , 0 ,     0 , 0 , 0 , 0 
 18 , 9 ,Play flange_3.wav Once, 0 , 0 ,   0 , 0 , 0 , 0 
 18 , 10 ,Set a Tag No. 0, 0 , 0 ,         0 , 0 , 0 , 0 
 18 , 11 ,Set Timer 0 by CV146, 0 , 0 ,    0 , 0 , 0 , 0 
 18 , 19 ,Event 18 in Voice 3 slot 13, 0 , 0 ,           0 , 0 , 0 , 0 
 18 , 20 ,While Timer0 is On, 0 , 0 ,      0 , 0 , 0 , 0 
 19 , 0 ,Test Memory Slot 0 for 1, 0 , 0 ,               0 , 0 , 0 , 0 
 19 , 1 ,Branch to Tag No. 1, 0 , 0 ,      0 , 0 , 0 , 0 
 19 , 2 ,Set Volume by value in CV 147, 0 , 0 ,          0 , 0 , 0 , 0 
 19 , 3 ,Set Pitch per Notch Setting, 0 , 0 ,            0 , 0 , 0 , 0 
 19 , 4 ,Randomly Do Next 1:2, 0 , 0 ,     0 , 0 , 0 , 0 
 19 , 5 ,Play joint_in.wav Once, 0 , 0 ,   0 , 0 , 0 , 0 
 19 , 6 ,Randomly Do Next 1:2, 0 , 0 ,     0 , 0 , 0 , 0 
 19 , 7 ,Play joint.wav Once, 0 , 0 ,      0 , 0 , 0 , 0 
 19 , 8 ,Set a Tag No. 1, 0 , 0 ,          0 , 0 , 0 , 0 
 19 , 9 ,Set Timer 1 by CV: 148, 0 , 0 ,   0 , 0 , 0 , 0 
 19 , 19 ,Event 19 in Voice 3 slot 14, 0 , 0 ,           0 , 0 , 0 , 0 
 19 , 20 ,Trigger when Timer 1 Turns ON, 0 , 0 ,         0 , 0 , 0 , 0 
 20 , 0 ,Set Volume by value in CV 147, 0 , 0 ,          0 , 0 , 0 , 0 
 20 , 1 ,Set Pitch per Notch Setting, 0 , 0 ,            0 , 0 , 0 , 0 
 20 , 2 ,Play joint.wav Once, 0 , 0 ,      0 , 0 , 0 , 0 
 20 , 19 ,Event 20 in Voice 3 slot 12, 0 , 0 ,           0 , 0 , 0 , 0 
 20 , 20 ,Trigger when FKey 15 Turns ON, 0 , 0 ,         0 , 0 , 0 , 0 
 21 , 0 ,Set CV 132 to 64, 0 , 0 ,         0 , 0 , 0 , 0 
 21 , 1 ,Set CV 133 to 127, 0 , 0 ,        0 , 0 , 0 , 0 
 21 , 2 ,Set CV 134 to 32, 0 , 0 ,         0 , 0 , 0 , 0 
 21 , 3 ,Set CV 135 to 0, 0 , 0 ,          0 , 0 , 0 , 0 
 21 , 4 ,Set CV 139 to 63, 0 , 0 ,         0 , 0 , 0 , 0 
 21 , 5 ,Set CV 140 to 64, 0 , 0 ,         0 , 0 , 0 , 0 
 21 , 6 ,Set CV 141 to 64, 0 , 0 ,         0 , 0 , 0 , 0 
 21 , 7 ,Set CV 142 to 64, 0 , 0 ,         0 , 0 , 0 , 0 
 21 , 8 ,Set CV 143 to 64, 0 , 0 ,         0 , 0 , 0 , 0 
 21 , 9 ,Set CV 144 to 64, 0 , 0 ,         0 , 0 , 0 , 0 
 21 , 10 ,Set CV 145 to 64, 0 , 0 ,        0 , 0 , 0 , 0 
 21 , 11 ,Set CV 146 to 64, 0 , 0 ,        0 , 0 , 0 , 0 
 21 , 12 ,Set CV 147 to 64, 0 , 0 ,        0 , 0 , 0 , 0 
 21 , 13 ,Set CV 148 to 64, 0 , 0 ,        0 , 0 , 0 , 0 
 21 , 19 ,Event 21 in Voice 3 slot 15, 0 , 0 ,           0 , 0 , 0 , 0 
 21 , 20 ,Reset CVs when Decoder Reset, 0 , 0 ,          0 , 0 , 0 , 0 
FKeyNo,FKeyName,N/A,N/A,N/A,N/A,N/A,N/A,N/A
 2 ,"Horn/Whistle", 0 , 0 , 0 ,            0 , 0 , 0 , 0 
 3 ,"Brake Release", 0 , 0 , 0 ,           0 , 0 , 0 , 0 
 4 ,"Track 3, Doors Closing", 0 , 0 , 0 ,  0 , 0 , 0 , 0 
 7 ,"Tokyo Jingle", 0 , 0 , 0 ,            0 , 0 , 0 , 0 
 8 ,"Akihabara Jingle", 0 , 0 , 0 ,        0 , 0 , 0 , 0 
 10 ,"Next Station: Akihabara", 0 , 0 , 0 ,              0 , 0 , 0 , 0 
 14 ,"Flange", 0 , 0 , 0 ,   0 , 0 , 0 , 0 
 15 ,"Joint", 0 , 0 , 0 ,    0 , 0 , 0 , 0 
 20 ,"Mute On/Off", 0 , 0 , 0 ,            0 , 0 , 0 , 0 
SndNo,SndName,SndBits,N/A,N/A,N/A,N/A,N/A,N/A
 0 ,"Silence", 8 , 0 , 0 ,   0 , 0 , 0 , 0 
 1 ,"E235_idle.wav", 16 , 0 , 0 ,          0 , 0 , 0 , 0 
 2 ,"E235_idle_run.wav", 16 , 0 , 0 ,      0 , 0 , 0 , 0 
 3 ,"E235_run_looped.wav", 16 , 0 , 0 ,    0 , 0 , 0 , 0 
 4 ,"E235_run_idle.wav", 16 , 0 , 0 ,      0 , 0 , 0 , 0 
 5 ,"E235_startup.wav", 16 , 0 , 0 ,       0 , 0 , 0 , 0 
 6 ,"E235_shutdown.wav", 16 , 0 , 0 ,      0 , 0 , 0 , 0 
 7 ,"E233_typ_in.wav", 16 , 0 , 0 ,        0 , 0 , 0 , 0 
 8 ,"E233_typ_loop.wav", 16 , 0 , 0 ,      0 , 0 , 0 , 0 
 9 ,"E233_typ_out.wav", 16 , 0 , 0 ,       0 , 0 , 0 , 0 
 10 ,"E235_doors_ringer.wav", 16 , 0 , 0 ,               0 , 0 , 0 , 0 
 11 ,"E235_track_3.wav", 16 , 0 , 0 ,      0 , 0 , 0 , 0 
 12 ,"E235_doors_are_closing.wav", 16 , 0 , 0 ,          0 , 0 , 0 , 0 
 13 ,"E235_doors_be_careful.wav", 16 , 0 , 0 ,           0 , 0 , 0 , 0 
 14 ,"E235_doors_actually_closing.wav", 16 , 0 , 0 ,     0 , 0 , 0 , 0 
 15 ,"Tokyo.wav", 16 , 0 , 0 ,             0 , 0 , 0 , 0 
 16 ,"Akihabara.wav", 16 , 0 , 0 ,         0 , 0 , 0 , 0 
 17 ,"E235_brake_release_2.wav", 16 , 0 , 0 ,            0 , 0 , 0 , 0 
 18 ,"Next_Akihabara.wav", 16 , 0 , 0 ,    0 , 0 , 0 , 0 
 19 ,"flange_1.wav", 8 , 0 , 0 ,           0 , 0 , 0 , 0 
 20 ,"flange_2.wav", 8 , 0 , 0 ,           0 , 0 , 0 , 0 
 21 ,"flange_3.wav", 8 , 0 , 0 ,           0 , 0 , 0 , 0 
 22 ,"joint_in.wav", 8 , 0 , 0 ,           0 , 0 , 0 , 0 
 23 ,"joint.wav", 8 , 0 , 0 ,              0 , 0 , 0 , 0 
CVNo,CVName,N/A,N/A,N/A,N/A,N/A,N/A,N/A
 140 ,"Power Unit Volume [64]", 0 , 0 , 0 ,              0 , 0 , 0 , 0 
 141 ,"Horn/Whistle Volume [64]", 0 , 0 , 0 ,            0 , 0 , 0 , 0 
 142 ,"Announcement Volume [64]", 0 , 0 , 0 ,            0 , 0 , 0 , 0 
 143 ,"Platform Jingles Volume [64]", 0 , 0 , 0 ,        0 , 0 , 0 , 0 
 144 ,"Brake Volume [64]", 0 , 0 , 0 ,     0 , 0 , 0 , 0 
 145 ,"Flange Volume [64]", 0 , 0 , 0 ,    0 , 0 , 0 , 0 
 146 ,"Flange Cycle Time [64]", 0 , 0 , 0 ,              0 , 0 , 0 , 0 
 147 ,"Joint Volume [64]", 0 , 0 , 0 ,     0 , 0 , 0 , 0 
 148 ,"Joint Cycle Time [64]", 0 , 0 , 0 ,               0 , 0 , 0 , 0 
Timer,TimerUsed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
 , 0 , 0 , 0 , 0 ,           0 , 0 , 0 , 0 
 , 1 , 0 , 0 , 0 ,           0 , 0 , 0 , 0 
Tag,TagsUsed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
 , 0 , 0 , 0 , 0 ,           0 , 0 , 0 , 0 
 , 1 , 0 , 0 , 0 ,           0 , 0 , 0 , 0 
MemorySlot,MemoryUsed,N/A,N/A,N/A,N/A,N/A,N/A,N/A
 , 0 , 0 , 0 , 0 ,           0 , 0 , 0 , 0 
Decoder,PRM,16, 0 , 0 ,      0 , 0 , 0 , 0 
Project,JRE235,Maciej Swic, 0 , 0 ,        0 , 0 , 0 , 0 
Folder,C:\SPJ_Projects\JRE235\, 0 , 0 , 0 ,              0 , 0 , 0 , 0 
Editor,C:\windows\system32\notepad.exe, 0 , 0 , 0 ,      0 , 0 , 0 , 0 
Assembler,C:\Program Files (x86)\SPJHelper\MPASMWIN.exe, 0 , 0 , 0 ,   0 , 0 , 0 , 0 
SoundLoader,C:\SoundLoader_2\SoundLoader2.exe, 0 , 0 , 0 ,             0 , 0 , 0 , 0 
WavePad,C:\Program Files (x86)\Audacity\Audacity.exe, 0 , 0 , 0 ,      0 , 0 , 0 , 0 
Sound Project Helper V6.2 ©2015, Fred Miller MMR, 0 , 0 , 0 , 0 ,      0 , 0 , 0 
